Year,Month,Day,Hour,Decimal Year,T
1940,4,13,6,1940.2821,-1.8987518
1940,4,13,12,1940.2828,-3.5686757
1940,4,13,18,1940.2835,-1.2668414
1940,4,14,0,1940.2842,-2.9787759
1940,4,14,6,1940.2848,-8.0638167
1940,4,14,12,1940.2855,-7.379393
1940,4,14,18,1940.2862,-0.31109875
1940,4,15,0,1940.2869,-3.0347901
1940,4,15,6,1940.2876,-10.600211
1940,4,15,12,1940.2883,-7.8047509
1940,4,15,18,1940.2889,5.4216064
1940,4,16,0,1940.2896,1.5443722
1940,4,16,6,1940.2903,-0.15705965
1940,4,16,12,1940.291,0.67790229
1940,4,16,18,1940.2917,4.4816178
1940,4,17,0,1940.2923,1.5338696
1940,4,17,6,1940.293,0.83369184
1940,4,17,12,1940.2937,1.8909602
1940,4,17,18,1940.2944,8.658178
1940,4,18,0,1940.2951,4.0124987
1940,4,18,6,1940.2958,0.74616962
1940,4,18,12,1940.2964,1.5723793
1940,4,18,18,1940.2971,1.6879087
1940,4,19,0,1940.2978,1.7106644
1940,4,19,6,1940.2985,2.9079684
1940,4,19,12,1940.2992,2.1517764
1940,4,19,18,1940.2999,8.7421993
1940,4,20,0,1940.3005,2.6804106
1940,4,20,6,1940.3012,0.31205943
1940,4,20,12,1940.3019,1.7176662
1940,4,20,18,1940.3026,3.454107
1940,4,21,0,1940.3033,1.9592275
1940,4,21,6,1940.304,1.5268678
1940,4,21,12,1940.3046,2.3338226
1940,4,21,18,1940.3053,3.5573832
1940,4,22,0,1940.306,1.6581511
1940,4,22,6,1940.3067,0.88095384
1940,4,22,12,1940.3074,1.1540232
1940,4,22,18,1940.3081,4.3783416
1940,4,23,0,1940.3087,2.197288
1940,4,23,6,1940.3094,1.0349929
1940,4,23,12,1940.3101,0.70415896
1940,4,23,18,1940.3108,4.9997493
1940,4,24,0,1940.3115,2.2638049
1940,4,24,6,1940.3122,-0.91500205
1940,4,24,12,1940.3128,0.98247961
1940,4,24,18,1940.3135,7.0967817
1940,4,25,0,1940.3142,3.3035688
1940,4,25,6,1940.3149,-1.4383849
1940,4,25,12,1940.3156,3.1565315
1940,4,25,18,1940.3163,10.452383
1940,4,26,0,1940.3169,4.163037
1940,4,26,6,1940.3176,-1.1968236
1940,4,26,12,1940.3183,2.4896122
1940,4,26,18,1940.319,9.8887404
1940,4,27,0,1940.3197,3.0252481
1940,4,27,6,1940.3204,-1.135558
1940,4,27,12,1940.321,1.4796058
1940,4,27,18,1940.3217,9.2305733
1940,4,28,0,1940.3224,3.2913157
1940,4,28,6,1940.3231,-0.91850294
1940,4,28,12,1940.3238,2.3355731
1940,4,28,18,1940.3245,11.161313
1940,4,29,0,1940.3251,5.2518133
1940,4,29,6,1940.3258,-0.47564052
1940,4,29,12,1940.3265,5.3375851
1940,4,29,18,1940.3272,16.710222
1940,4,30,0,1940.3279,9.4983913
